,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
1834,40th week,Maharashtra,Pune,Chikungunya,33,,2,10,2018,18.521428,73.8544541,0.3281831846,17.0,304.952
1835,40th week,Maharashtra,Pune,Dengue,51,,23,9,2018,18.521428,73.8544541,0.1302601564,16.0,304.7333334
1836,40th week,Maharashtra,Satara,Chikungunya,16,,28,8,2018,17.63612885,74.29827808,0.1469166093,,302.2
1837,40th week,Maharashtra,Satara,Dengue,39,,6,8,2018,17.63612885,74.29827808,0.1002392496,6.0,302.07
1838,40th week,Maharashtra,Wardha,Dengue,62,2.0,13,8,2018,20.82562315,78.6131455,0.8882798395,,
1839,40th week,Madhya Pradesh,Hoshangabad,Acute Diarrhoeal Disease,11,,21,8,2018,22.6001502,77.92664521,1.288188736,,
1840,40th week,Madhya Pradesh,Hoshangabad,Acute Diarrhoeal Disease,14,1.0,1,8,2018,22.6001502,77.92664521,0.1505540374,5.0,
1841,40th week,Uttar Pradesh,Shravasti,Acute Diarrhoeal Disease,35,5.0,15,7,2018,27.5083429,82.0263569,0.6959592285,11.0,
1842,40th week,West Bengal,Nadia,Dengue,419,,13,7,2018,23.48454125,88.55676307,0.3733149412,11.0,300.355
1843,40th week,West Bengal,South 24 Parganas,Dengue,728,,21,9,2018,22.5760669,88.42006758,0.5798968279,,302.67
1844,41st week,Haryana,Kurukshetra,Acute Diarrhoeal Disease,11,,7,9,2018,29.9693747,76.8482787,0.946116861,19.0,302.0
1845,41st week,Karnataka,Bagalkot,Chikungunya,20,,6,8,2018,16.1853166,75.6967919,0.123990867,3.0,297.92
1846,41st week,Nagaland,Mokokchung,Dengue,1,,12,10,2018,26.4795861,94.51052755,0.2389401517,29.0,299.56
1847,41st week,Rajasthan,Bikaner,Dengue,9,,10,10,2018,28.0159286,73.3171367,7.49e-05,5.0,317.80666659999997
1848,41st week,Bihar,Muzaffarpur,Acute Diarrhoeal Disease,4,1.0,13,10,2018,26.1486581,85.34001282,0.3370672506,15.0,301.832
1849,41st week,Chhattisgarh,Korba,Acute Diarrhoeal Disease,41,,8,10,2018,22.3547468,82.7110855,0.003324239414,,304.132
1850,41st week,Karnataka,Chamarajanagar,Dengue,24,,24,9,2018,11.9346006,76.9328209,0.06568375134,14.0,305.012
1851,41st week,Madhya Pradesh,Satna,Malaria,15,,27,7,2018,24.5,81.0,1.429372551,,
1852,41st week,Uttar Pradesh,Kannauj,Acute Diarrhoeal Disease,111,,3,10,2018,26.9996974,79.68861213,0.002815972306,13.0,305.55333340000004
1853,41st week,Uttar Pradesh,Kannauj,Acute Diarrhoeal Disease,39,,24,9,2018,26.9996974,79.68861213,0.1795235948,16.0,303.945
1854,41st week,West Bengal,Paschim Medinipur,Dengue,1568,,14,8,2018,22.3599134,87.41331448,0.3791070026,5.0,301.16
1855,42nd week,Goa,North Goa,Acute Diarrhoeal Disease,35,,5,9,2018,15.60444125,74.00172406,0.4932080572,,298.12
1856,42nd week,Karnataka,Bagalkot,Chikungunya,13,,6,8,2018,16.1853166,75.6967919,0.123990867,3.0,297.92
1857,42nd week,Maharashtra,Nandurbar,Cholera,43,1.0,19,10,2018,21.51450155,74.54070115,8.67e-05,9.0,309.7766666
1858,42nd week,Punjab,Gurdaspur,Acute Diarrhoeal Disease,40,,16,10,2018,32.166667,75.316667,0.06629035306,,299.61
1859,42nd week,Maharashtra,Amravati,Acute Diarrhoeal Disease,17,,15,10,2018,20.9521098,77.7333168,4.6e-05,,310.32
1860,43rd week,Himachal Pradesh,Kullu,Acute Diarrhoeal Disease,17,,18,10,2018,32.00186325,77.3789964,0.03333946896,16.0,286.1333334
1861,43rd week,Jharkhand,Dhanbad,Dengue,38,,25,9,2018,23.7952809,86.4309638,0.4311538211,19.0,302.21500000000003
1862,43rd week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,45,,28,10,2018,20.32570375,78.11691397,0.001045400082,12.0,306.7233334
1863,43rd week,Rajasthan,Sri Ganganagar,Dengue,190,5.0,24,10,2018,29.9270556,73.8761519,0.001742356455,,306.5
1864,43rd week,Uttar Pradesh,Auraiya,Dengue,103,3.0,19,10,2018,26.65573395,79.51504701,0.0012251311,8.0,304.74333340000004
1865,43rd week,Bihar,Munger,Acute Diarrhoeal Disease,13,1.0,11,10,2018,25.22081165,86.51720367,0.05951866274,15.0,302.256
1866,43rd week,Kerala,Malappuram,Dengue,50,,4,10,2018,11.10684475,76.1099551,1.514968198,20.0,300.62
1867,44th week,Jharkhand,West Singhbhum,Acute Diarrhoeal Disease,12,,23,9,2018,22.7859232,86.1716093,0.430351649,21.0,301.64
1868,44th week,Karnataka,Belagavi,Acute Diarrhoeal Disease,32,,4,6,2018,15.8572666,74.5069343,0.7051409364,10.0,309.268
1869,44th week,Kerala,Kottayam,Acute Diarrhoeal Disease,24,,1,11,2018,9.6287383,76.64553257,0.1175007872,,303.068
1870,44th week,Maharashtra,Amravati,Acute Diarrhoeal Disease,17,,2,11,2018,20.9521098,77.7333168,0.000277945801,11.0,308.608
1871,44th week,Maharashtra,Amravati,Dengue,17,,25,10,2018,20.9521098,77.7333168,0.001005993219,10.0,310.9533334
1872,44th week,Maharashtra,Kolhapur,Acute Diarrhoeal Disease,34,,2,11,2018,16.7028412,74.2405329,6.84e-05,9.0,307.64
1873,44th week,Maharashtra,Sangli,Acute Diarrhoeal Disease,17,,5,9,2018,17.1726928,74.58676543,0.1624665616,,300.192
1874,44th week,Maharashtra,Thane,Acute Diarrhoeal Disease,30,,25,10,2018,19.1943294,72.9701779,0.08740005781,17.0,305.97
1875,44th week,Telangana,Nizamabad,Acute Diarrhoeal Disease,27,,27,10,2018,18.75,78.25,0.008511625856,11.0,305.4866666
1876,44th week,Telangana,Rangareddy,Acute Diarrhoeal Disease,27,,26,10,2018,17.1333954,78.39709787,0.01133198841,10.0,307.045
1877,44th week,West Bengal,Rampurhat,Cholera,102,,29,10,2018,24.1763069,87.7859569,0.001800650255,17.0,302.42400000000004
1878,44th week,Assam,Golaghat,Acute Diarrhoeal Disease,35,,29,10,2018,26.40490095,94.03209112,0.08963011693,40.0,299.992
1879,44th week,Assam,Marigaon,Malaria,7,,2,11,2018,26.290712,92.29221257,0.0369340191,41.0,301.336
1880,44th week,Assam,Tinsukia,Acute Diarrhoeal Disease,79,,17,9,2018,27.52016575,95.53063473,0.5365674269,35.0,298.7133334
1881,44th week,Chhattisgarh,Bastar,Dengue,23,,23,9,2018,19.11912825,81.82918649,1.282190319,25.0,298.89
1882,44th week,Chhattisgarh,Bastar,Dengue,5,,22,10,2018,19.11912825,81.82918649,0.001025961804,22.0,303.8333334
1883,44th week,Chhattisgarh,Bastar,Dengue,64,,23,8,2018,19.11912825,81.82918649,0.6504860088,8.0,298.52
1884,44th week,Madhya Pradesh,Guna,Dengue,10,1.0,25,10,2018,24.5,77.5,0.001966974692,5.0,312.6333334
1885,44th week,Punjab,Ludhiana,Cholera,75,1.0,22,7,2018,30.9090157,75.851601,1.4236118,9.0,302.4533334
1886,44th week,Punjab,Ludhiana,Cholera,12,,12,9,2018,30.9090157,75.851601,0.6080944717,20.0,301.94
1887,44th week,Uttar Pradesh,Siddharth Nagar,Acute Diarrhoeal Disease,32,1.0,6,8,2018,27.25264095,82.86964796,2.048736145,10.0,270.74
1888,44th week,Uttar Pradesh,Siddharth Nagar,Acute Diarrhoeal Disease,10,2.0,13,8,2018,27.25264095,82.86964796,0.7003031729,,301.67
1889,44th week,Uttar Pradesh,Siddharth Nagar,Acute Diarrhoeal Disease,33,1.0,8,9,2018,27.25264095,82.86964796,0.7210717794,20.0,301.38
1890,44th week,Maharashtra,Gadchiroli,Malaria,114,1.0,27,10,2018,19.75907035,80.16228073,0.005320785262,22.0,303.3566666
1891,44th week,Punjab,Ludhiana,Acute Diarrhoeal Disease,79,2.0,18,6,2018,30.9090157,75.851601,0.1338855775,,310.9466666
1892,44th week,Rajasthan,Ganganagar,Dengue,126,4.0,11,10,2018,29.9049489,73.87929341,0.04742286749,7.0,305.8666666
1893,45th week,Andhra Pradesh,Srikakulam,Acute Diarrhoeal Disease,36,,5,11,2018,18.32002205,83.9160772,0.03246801788,13.0,302.2833334
1894,45th week,Karnataka,Tumkur,Malaria,21,,7,11,2018,13.3400771,77.1006208,0.09549042497,11.0,302.425
1895,45th week,Odisha,Bhadrak,Acute Diarrhoeal Disease,14,,9,11,2018,21.0633288,86.5053731,0.06459121194,,302.91200000000003
1896,45th week,Odisha,Keonjhar,Acute Diarrhoeal Disease,7,,6,11,2018,21.5,85.5,0.05571720972,23.0,299.8233334
1897,45th week,West Bengal,Birbhum,Cholera,117,,2,11,2018,24.0,87.583333,0.01147096072,14.0,301.736
1898,45th week,West Bengal,Birbhum,Cholera,49,,26,10,2018,24.0,87.583333,0.001771063983,17.0,302.8333334
1899,45th week,West Bengal,Nadia,Dengue,479,,7,9,2018,23.48454125,88.55676307,0.6185633373,10.0,300.285
1900,46th week,Karnataka,Kalaburagi,Chikungunya,33,,16,11,2018,17.166667,77.083333,5.29e-05,,312.312
1901,46th week,Karnataka,Belagavi,Acute Diarrhoeal Disease,10,,17,11,2018,15.8572666,74.5069343,9.41e-05,,306.65000000000003
1902,46th week,Karnataka,Raichur,Dengue,12,,16,11,2018,16.083333,77.166667,5.29e-05,,311.57599999999996
1903,46th week,Kerala,Wayanad,Acute Diarrhoeal Disease,12,,14,11,2018,11.715219,76.12690295,0.04950499713,43.0,299.276
1904,46th week,Telangana,Nizamabad,Acute Diarrhoeal Disease,27,,15,11,2018,18.75,78.25,5.68e-05,10.0,306.86
1905,46th week,Telangana,Nizamabad,Dengue,591,2.0,8,11,2018,18.75,78.25,0.01685814589,,305.088
1906,46th week,Maharashtra,Nagpur,Acute Diarrhoeal Disease,24,,13,8,2018,21.1498134,79.0820556,0.8882798395,,
1907,46th week,Maharashtra,Nagpur,Dengue,15,,18,9,2018,21.1498134,79.0820556,0.02259216238,21.0,305.1633334
1908,46th week,Maharashtra,Nagpur,Acute Diarrhoeal Disease,65,,10,7,2018,21.1498134,79.0820556,2.773682945,3.0,
1909,46th week,Maharashtra,Nagpur,Dengue,18,1.0,23,8,2018,21.1498134,79.0820556,1.360221284,6.0,298.12
1910,46th week,Maharashtra,Nagpur,Dengue,52,1.0,11,9,2018,21.1498134,79.0820556,0.6023674312,20.0,301.61
1911,46th week,Maharashtra,Sholapur,Dengue,16,1.0,25,10,2018,17.6912883,75.8841635,0.01100644841,7.0,313.58
1912,46th week,Maharashtra,Sholapur,Dengue,7,1.0,31,10,2018,17.6912883,75.8841635,0.007979888095,,312.04400000000004
1913,46th week,Madhya Pradesh,Rewa,Malaria,91,,6,10,2018,24.756718,81.65493469,0.003246936904,13.0,307.95
1914,46th week,Rajasthan,Alwar,Acute Diarrhoeal Disease,107,,11,10,2018,27.5,76.5,0.03519232221,10.0,307.80666659999997
1915,47th week,Tripura,Khowai,Acute Diarrhoeal Disease,15,1.0,24,11,2018,24.04673835,91.62320954,0.002108316505,,299.096
1916,47th week,Maharashtra,Kolhapur,Acute Diarrhoeal Disease,71,,5,11,2018,16.7028412,74.2405329,0.02303284138,9.0,306.264
1917,47th week,Maharashtra,Nashik,Dengue,14,3.0,5,10,2018,20.0112475,73.7902364,0.199977881,20.0,304.168
1918,47th week,Maharashtra,Nashik,Chikungunya,30,,29,10,2018,20.0112475,73.7902364,0.002332051973,10.0,308.04400000000004
1919,48th week,Jharkhand,Godda,Dengue,16,,28,11,2018,24.74334305,87.29285062,1.6e-05,6.0,301.688
1920,48th week,Maharashtra,Akola,Dengue,14,,30,11,2018,20.76181225,77.19211567,6.66e-05,8.0,307.208
1921,48th week,Madhya Pradesh,Damoh,Acute Diarrhoeal Disease,18,,29,11,2018,23.75,79.583333,4.47e-05,7.0,302.24
1922,48th week,Puducherry,Puducherry & Karaikal,Dengue,49,,26,11,2018,10.9850622,79.8443779,0.7038467396,16.0,299.76
1923,48th week,Bihar,Muzaffarpur,Dengue,47,,8,10,2018,26.1486581,85.34001282,0.06130183414,,303.596
1924,48th week,Maharashtra,Pune,Dengue,51,,4,10,2018,18.521428,73.8544541,0.3435667594,17.0,303.928
1925,48th week,Madhya Pradesh,Rewa,Acute Diarrhoeal Disease,10,2.0,14,11,2018,24.756718,81.65493469,2.62e-05,6.0,303.6666666
1926,48th week,Madhya Pradesh,Bhind,Chikungunya,45,,29,10,2018,26.5,78.75,0.0004229298688,7.0,306.30400000000003
1927,49th week,Karnataka,Kalaburagi,Chikungunya,37,,6,12,2018,17.166667,77.083333,0.007915876432,6.0,306.94
1928,49th week,Assam,Barpeta,Acute Diarrhoeal Disease,14,,26,11,2018,26.34142215,91.01674328,0.001068048725,22.0,297.9133334
1929,49th week,Bihar,Jamui,Acute Diarrhoeal Disease,33,,24,9,2018,24.96785205,86.17351147,0.455808117,19.0,303.7866666
1930,49th week,Bihar,Purnia,Dengue,32,,28,11,2018,26.0,87.5,4.39e-05,6.0,300.16
1931,49th week,Uttar Pradesh,Bareilly,Malaria,36904,,3,9,2018,28.416667,79.383333,0.7864838707,8.0,302.48
1932,49th week,Uttar Pradesh,Jaunpur,Acute Diarrhoeal Disease,45,,13,8,2018,25.7955927,82.48834098,0.7327297566,,298.12
1933,49th week,Uttar Pradesh,Jaunpur,Acute Diarrhoeal Disease,24,,23,8,2018,25.7955927,82.48834098,0.5198579763,7.0,301.98
1934,49th week,Andhra Pradesh,Srikakulam,Acute Diarrhoeal Disease,39,,1,12,2018,18.32002205,83.9160772,0.000117000311,9.0,301.392
1935,50th week,Bihar,Nalanda,Acute Diarrhoeal Disease,65,,9,12,2018,25.1364914,85.44365465,3.61e-05,4.0,297.9133334
1936,50th week,Maharashtra,Akola,Dengue,8,,11,12,2018,20.76181225,77.19211567,0.01939602393,,303.944
1937,50th week,Tamil Nadu,Dharmapuri,Chikungunya,22,,3,12,2018,12.09680475,78.19304301,0.0408257884,,301.35
1938,50th week,Uttarakhand,Nainital,Acute Diarrhoeal Disease,9,,15,12,2018,29.29478295,79.41548094,0.0203542968,17.0,288.716
1939,50th week,Chhattisgarh,Bastar,Dengue,5,,26,11,2018,19.11912825,81.82918649,5.01e-05,13.0,301.684
1940,50th week,Jharkhand,Dhanbad,Dengue,10,,29,11,2018,23.7952809,86.4309638,4.56e-05,6.0,301.535
1941,50th week,Maharashtra,Nagpur,Acute Diarrhoeal Disease,91,,26,11,2018,21.1498134,79.0820556,9.5e-06,8.0,306.54
1942,50th week,Maharashtra,Satara,Dengue,64,,29,9,2018,17.63612885,74.29827808,0.1610027176,,307.904
1943,50th week,Maharashtra,Satara,Chikungunya,7,,31,8,2018,17.63612885,74.29827808,0.2008284717,8.0,299.18
1944,50th week,Puducherry,Puducherry,Chikungunya,32,,29,10,2018,11.9340568,79.8306447,0.02062496327,9.0,302.92
1945,51st week,Tripura,Agartala,Acute Diarrhoeal Disease,102,,12,12,2018,23.8312377,91.2823821,3.43e-05,14.0,298.192
1946,52nd week,Karnataka,Chikkaballapura,Acute Diarrhoeal Disease,17,,23,12,2018,13.4358702,77.7312434,0.001765755868,6.0,304.1566666
1947,52nd week,Punjab,S.A.S Nagar,Acute Diarrhoeal Disease,12,,25,12,2018,30.7041168,76.7176885,7.52e-05,12.0,290.5233334
1948,52nd week,Tamil Nadu,Tiruvarur,Malaria,31,,25,12,2018,10.7760127,79.6199369,0.5308807053,19.0,299.1866666
1949,1st week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,15,,5,1,2017,16.99842865,81.71561488,0.0002294354551,25.0,300.392
1950,1st week,Chhattisgarh,Kondagaon,Acute Diarrhoeal Disease,30,,3,1,2017,19.5885769,81.6628742,7.28e-05,14.0,300.2666666
1951,1st week,Maharashtra,Sindhudurg,Malaria,2,1.0,2,1,2017,16.1357193,73.6522086,7.16e-05,17.0,303.80333340000004
1952,1st week,Tamil Nadu,Cuddalore,Acute Diarrhoeal Disease,12,,3,1,2017,11.7564329,79.7634644,0.03167776122,11.0,303.1966666
1953,1st week,Tamil Nadu,Cuddalore,Acute Diarrhoeal Disease,20,,3,1,2017,11.7564329,79.7634644,0.03167776122,11.0,303.1966666
1954,1st week,Tamil Nadu,Tiruvannamalai,Dengue,21,,7,1,2017,12.22721295,79.07015555,0.001709245432,8.0,305.58
1955,1st week,Tamil Nadu,Virudhunagar,Dengue,27,,1,1,2017,9.5208936,77.8784564,0.03137469281,12.0,305.335
1956,1st week,Tamil Nadu,Nagercoil,Dengue,12,,22,12,2016,8.1880471,77.4290492,0.1764551993,16.0,304.98
1957,2nd week,Karnataka,Mandya,Chikungunya,20,,13,1,2017,12.5238888,76.8961961,4.41e-05,6.0,304.5066666
1958,2nd week,Odisha,Nayagarh,Acute Diarrhoeal Disease,13,,8,1,2017,20.1160666,85.11195644,0.005766175295,,300.312
1959,2nd week,Tamil Nadu,Ramanathapuram-Paramakudi,Dengue,65,,11,1,2017,9.4684575,78.7462095,0.0001585142489,6.0,308.89
1960,2nd week,Tamil Nadu,Tirunelveli- Sankarankovil,Dengue,142,1.0,12,1,2017,8.7352443,77.6864945,0.0006228565076,15.0,305.964
1961,2nd week,Karnataka,Shimoga,Chikungunya,26,,31,12,2016,13.9326093,75.574978,0.0001870727494,6.0,306.25333340000003
1962,2nd week,Maharashtra,Latur,Chikungunya,35,,25,11,2016,18.35159075,76.75542361,5.96e-05,8.0,304.816
1963,2nd week,Telangana,Nizamabad,Acute Diarrhoeal Disease,80,,29,11,2016,18.75,78.25,3.46e-05,9.0,304.66
1964,3rd week,Chandigarh,Chandigarh,Acute Diarrhoeal Disease,246,,25,1,2017,30.72984395,76.78414567,0.01061825247,,288.108
1965,3rd week,Maharashtra,Sindhudurg,Malaria,1,1.0,20,1,2017,16.1357193,73.6522086,6.23e-05,14.0,302.504
1966,3rd week,Punjab,S.A.S Nagar,Cholera,103,,19,1,2017,30.7041168,76.7176885,0.1335549893,11.0,286.992
1967,3rd week,Tripura,Sepahijala,Acute Diarrhoeal Disease,19,,20,1,2017,23.53074455,91.30156539,6.23e-05,19.0,295.4833334
1968,3rd week,Karnataka,Mandya,Dengue,65,,9,1,2017,12.5238888,76.8961961,6.32e-05,,305.85
1969,3rd week,Odisha,Koraput,Acute Diarrhoeal Disease,15,,11,1,2017,18.7232023,82.60811828,0.0003563634079,12.0,300.6866666
1970,5th week,Gujarat,Anand,Acute Gastroenteritis,69,,31,1,2017,22.5584995,72.9625629,2.46e-05,9.0,302.612
1971,5th week,Gujarat,Porbandar,Chikungunya,44,,2,2,2017,21.6409,69.611,4.44e-05,,306.78400000000005
1972,5th week,Karnataka,Chamarajanagar,Chikungunya,46,,31,1,2017,11.9346006,76.9328209,0.3232436796,17.0,306.6066666
1973,5th week,Karnataka,Tumkur,Chikungunya,25,,27,1,2017,13.3400771,77.1006208,0.1186286328,5.0,306.5
1974,5th week,Kerala,Wayanad,Acute Diarrhoeal Disease,11,,31,1,2017,11.715219,76.12690295,0.5860934901,33.0,300.645
1975,5th week,Odisha,Koraput,Acute Diarrhoeal Disease,21,,1,2,2017,18.7232023,82.60811828,0.02549084525,,303.86
1976,6th week,Himachal Pradesh,Mandi,Acute Diarrhoeal Disease,81,,5,2,2017,31.6723392,76.95331691,0.2162809324,11.0,284.02500000000003
1977,6th week,Jammu and Kashmir,Kupwara,Acute Gastroenteritis,17,,4,2,2017,34.6110236,74.23847867,0.4358234496,0.0,259.68
1978,6th week,Karnataka,Chitradurga,Dengue,31,,8,2,2017,14.2266443,76.4005122,6.69e-05,4.0,311.9366666
1979,6th week,Karnataka,Kolar,Dengue,48,,9,2,2017,13.1367201,78.1337246,0.0001148005372,,308.384
1980,6th week,Odisha,Koraput,Acute Diarrhoeal Disease,1,1.0,1,2,2017,18.7232023,82.60811828,0.02549084525,,303.86
1981,6th week,Tamil Nadu,Villupuram - Kallakurichi,Acute Diarrhoeal Disease,16,,6,2,2017,11.629177,78.8599569,0.002099677066,8.0,303.78000000000003
1982,6th week,Tripura,North Tripura,Acute Diarrhoeal Disease,23,,8,2,2017,24.0921476,92.24512135,8.98e-05,36.0,297.7
1983,7th week,Assam,Cachar,Acute Diarrhoeal Disease,12,,13,2,2017,24.75863995,92.88166476,8.05e-05,19.0,298.476
1984,7th week,Bihar,Purnia,Acute Diarrhoeal Disease,52,,15,2,2017,26.0,87.5,0.0001357618793,9.0,297.8266666
1985,7th week,Karnataka,Tumkur,Chikungunya,35,,11,2,2017,13.3400771,77.1006208,3.36e-05,6.0,309.216
1986,7th week,Karnataka,Yadgiri,Chikungunya,10,,16,2,2017,16.7469536,77.1327594,4.43e-05,7.0,308.056
1987,7th week,Odisha,Bolangir,Acute Diarrhoeal Disease,24,,13,2,2017,20.7502257,83.2499464,3.96e-05,7.0,305.3533334
1988,7th week,Tamil Nadu,Tiruvannamalai,Acute Diarrhoeal Disease,55,,16,2,2017,12.22721295,79.07015555,0.01086650283,9.0,305.96
1989,7th week,Uttar Pradesh,Siddharth Nagar,Acute Diarrhoeal Disease,15,1.0,9,2,2017,27.25264095,82.86964796,0.01254942549,,294.652
1990,8th week,Gujarat,Devbhumi Dwarka,Acute Diarrhoeal Disease,38,,18,2,2017,22.2444759,68.96800188,6.66e-05,,
1991,8th week,Jharkhand,East Singhbhum,Acute Diarrhoeal Disease,40,,23,2,2017,22.8092139,86.2091549,0.0001523435949,5.0,305.54
1992,8th week,Odisha,Angul,Acute Diarrhoeal Disease,10,1.0,20,2,2017,20.8382426,85.0973949,0.0002844856049,8.0,304.76
1993,8th week,Tamil Nadu,Ramanathapuram,Dengue,13,,21,2,2017,9.3895523,78.85907072,,6.0,307.616
1994,9th week,Gujarat,Patan,Acute Gastroenteritis,59,1.0,26,2,2017,23.77405735,71.68373466,6.74e-05,,311.13
1995,9th week,Gujarat,Rajkot,Acute Diarrhoeal Disease,23,,28,2,2017,22.3053263,70.8028377,7.26e-05,4.0,313.4766666
1996,9th week,Punjab,S.A.S Nagar,Cholera,135,,1,3,2017,30.7041168,76.7176885,0.006693405674,16.0,296.8766666
1997,9th week,Tamil Nadu,Salem,Acute Diarrhoeal Disease,4,4.0,23,2,2017,11.0600516,77.0679581,0.0004970613536,7.0,311.125
1998,9th week,Tamil Nadu,Villupuram- Kallakurichi,Acute Diarrhoeal Disease,29,,3,3,2017,11.629177,78.8599569,0.004245533546,7.0,310.44
1999,9th week,Tripura,Dhalai,Acute Gastroenteritis,6,1.0,1,3,2017,23.8253158,91.97322267,0.06434863246,34.0,299.44
2000,9th week,Assam,Dibrugarh,Acute Diarrhoeal Disease,21,,10,2,2017,27.4844597,94.9019447,0.0124046834,,298.1166666
2001,9th week,Tamil Nadu,Salem,Acute Diarrhoeal Disease,16,,22,2,2017,11.0600516,77.0679581,0.0003986686235,7.0,310.57
2002,10th week,Chandigarh,Chandigarh,Acute Diarrhoeal Disease,64,,8,3,2017,30.72984395,76.78414567,0.03620573275,15.0,296.57
2003,10th week,Karnataka,Ramanagara,Acute Diarrhoeal Disease,23,,9,3,2017,12.7252766,77.2804797,0.04138586992,6.0,307.856
2004,10th week,Odisha,Koraput,Acute Diarrhoeal Disease,7,,5,3,2017,18.7232023,82.60811828,7.1e-05,,308.68
2005,10th week,Punjab,Bathinda,Acute Diarrhoeal Disease,12,,6,3,2017,30.17911535,75.04710156,0.001377837431,,296.02
2006,10th week,Tamil Nadu,Ramanathapuram-Paramakudi,Dengue,14,1.0,10,3,2017,9.4684575,78.7462095,0.2280513671,5.0,312.12
2007,10th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,48,,11,3,2017,22.642931,88.8930579,0.4075908985,18.0,300.40500000000003
2008,10th week,Chhattisgarh,Gariyaband,Acute Diarrhoeal Disease,55,,1,3,2017,20.52684285,82.187831,8.38e-05,10.0,306.12
2009,11th week,Andhra Pradesh,Kadapa,Chikungunya,32,,18,3,2017,14.4752936,78.8216861,0.01313335307,7.0,312.212
2010,11th week,Tamil Nadu,Ramanathapuram- Paramakudi,Dengue,49,1.0,16,3,2017,9.4684575,78.7462095,0.2112541014,6.0,309.94
2011,12th week,Gujarat,Mahesana,Chikungunya,18,,23,3,2017,23.6015557,72.3867981,5.77e-05,7.0,310.69
2012,12th week,Jammu and Kashmir,Leh,Acute Gastroenteritis,25,,23,3,2017,34.0846151,74.8230135,0.3567167085,7.0,275.8233334
2013,12th week,Madhya Pradesh,Katni,Acute Diarrhoeal Disease,106,,21,3,2017,23.8339621,80.392456,0.03669179369,,306.3433334
2014,12th week,Madhya Pradesh,Khargone,Acute Diarrhoeal Disease,29,,19,3,2017,21.825599,75.614182,8.95e-05,5.0,314.19
2015,12th week,Maharashtra,Akola,Acute Gastroenteritis,17,,23,3,2017,20.76181225,77.19211567,0.0002652240059,4.0,317.9033334
2016,12th week,Maharashtra,Dhule,Acute Gastroenteritis,11,,21,3,2017,21.13170235,74.48990147,8.94e-05,,314.62333340000004
2017,12th week,Rajasthan,Banswara,Acute Diarrhoeal Disease,100,,19,3,2017,23.4929453,74.34983641,7.63e-05,6.0,311.0666666
2018,12th week,Tamil Nadu,Dindigul,Dengue,34,,21,3,2017,10.3303299,78.06739791,0.1183955565,,309.41
2019,12th week,Tamil Nadu,Tiruvannamalai,Dengue,35,,24,3,2017,12.22721295,79.07015555,0.04302942016,7.0,311.49333340000004
2020,12th week,West Bengal,Burdwan,Acute Diarrhoeal Disease,27,,24,3,2017,23.2495714,87.8681751,0.02462458392,10.0,305.116
2021,12th week,Andhra Pradesh,Chittoor,Dengue,63,,4,3,2017,13.1601048,79.15555062,0.0002700199809,8.0,306.12
2022,12th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,48,,11,3,2017,22.642931,88.8930579,0.4075908985,18.0,300.40500000000003
2023,13th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,35,,27,3,2017,9.98408,76.2741457,0.08204447611,31.0,305.69
2024,13th week,Punjab,Gurdaspur,Acute Diarrhoeal Disease,57,,1,4,2017,32.166667,75.316667,6.85e-05,11.0,299.98
2025,13th week,Tamil Nadu,Salem,Acute Diarrhoeal Disease,14,,27,3,2017,11.0600516,77.0679581,0.02025262231,8.0,314.1
2026,13th week,Tamil Nadu,Virudhunagar,Dengue,42,,28,3,2017,9.5208936,77.8784564,0.0008606096731,7.0,316.94
2027,13th week,Assam,Dibrugarh,Acute Diarrhoeal Disease,8,1.0,14,3,2017,27.4844597,94.9019447,0.5398165781,,292.68
2028,13th week,Gujarat,Junagarh,Chikungunya,22,,20,3,2017,21.25,70.333333,0.0001316036471,5.0,314.568
2029,14th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,48,,7,4,2017,14.4752936,78.8216861,0.001862683483,,313.704
2030,14th week,Bihar,Madhubani,Acute Diarrhoeal Disease,21,,6,4,2017,26.350072,86.22914689,0.0573375211,,300.676
2031,14th week,Gujarat,Junagadh,Dengue,66,,6,4,2017,21.5174104,70.4642754,0.0003740452705,,318.252
2032,14th week,Karnataka,Ballari,Suspected Dengue,58,,2,4,2017,15.2485413,76.8323648,5.98e-05,4.0,319.072
2033,14th week,Karnataka,Raichur,Dengue,14,,1,4,2017,16.083333,77.166667,7.11e-05,5.0,319.64
2034,14th week,Kerala,Ernakulam,Dengue,13,,30,3,2017,9.98408,76.2741457,0.07724237517,,304.17
2035,14th week,Odisha,Koraput,Acute Diarrhoeal Disease,13,,5,4,2017,18.7232023,82.60811828,0.0207547236,10.0,311.928
2036,14th week,Tamil Nadu,Sivaganga,Acute Diarrhoeal Disease,23,,9,4,2017,9.851231,78.53047155,0.0009406631337,5.0,314.7966666
2037,14th week,Uttar Pradesh,Siddharth Nagar,Acute Diarrhoeal Disease,16,,28,3,2017,27.25264095,82.86964796,0.004839875014,8.0,303.5166666
